regime,shortlist,lift,half,frameworks,star
beta0,declared,0.24138888888888899,0.009570459952567787,8,False
beta0,dense_icomp,0.1075000000000001,0.04705272718772493,8,False
beta0,dense_idemo,0.0859722222222223,0.043994610009369814,8,False
beta0,embed,0.08138888888888898,0.04666413882042453,8,False
beta0,sota,0.02388888888888896,0.04616279834040919,8,False
beta0,sota_icomp,0.052916666666666744,0.03521661057645707,8,False
beta0,sota_idemo,0.04416666666666673,0.03367957398340578,8,False
beta0,va_cohort,0.18930555555555564,0.05010230798508289,8,False
cartel,declared,0.16555555555555568,0.01050892624696726,8,False
cartel,dense_icomp,0.10930555555555566,0.03865158430305029,8,False
cartel,dense_idemo,0.07944444444444451,0.03318623840921244,8,False
cartel,embed,0.06958333333333339,0.028275003684055163,8,False
cartel,sota,0.02583333333333339,0.03782279833743233,8,False
cartel,sota_icomp,0.04902777777777786,0.029085587305208223,8,False
cartel,sota_idemo,0.03750000000000007,0.03654968037893723,8,False
cartel,va_cohort,0.17305555555555566,0.04871876080444769,8,False
