family,group,n,regime,best_rival,gap,half_width,best_rival_incl_hidden,gap_incl_hidden
RouterEval,strong_to_weak,5000,beta025_cartel,warm_start_bandit,0.01666666666666683,0.04503085362035434,sequential_halving,-0.171111111111111
RouterEval,all_strong,5000,beta025_cartel,warm_start_bandit,0.01666666666666683,0.04503085362035434,sequential_halving,-0.171111111111111
RouterEval,all_weak,5000,beta025_cartel,warm_start_bandit,0.01666666666666683,0.04503085362035434,sequential_halving,-0.171111111111111
RouterEval,all_weak,1000,cartel,flat_probe_argmax_online,0.01679999999999998,0.023175849498993553,sequential_halving,-0.0338
RouterBench replay,all shapes pooled,1000000,beta05_random,warm_start_bandit,0.016959999999999975,0.003986490079570431,sequential_halving_peer,-0.02192000000000016
RouterEval,strong_to_weak,5000,beta05_random,declared_argmax,0.018888888888888955,0.05002777006601208,sequential_halving,-0.1744444444444444
RouterEval,all_strong,5000,beta05_random,declared_argmax,0.018888888888888955,0.05002777006601208,sequential_halving,-0.1744444444444444
RouterEval,all_weak,5000,beta05_random,declared_argmax,0.018888888888888955,0.05002777006601208,sequential_halving,-0.1744444444444444
bernoulli,specialist,100000,cartel,warm_start_bandit,0.019125999999999865,0.0019958623978746375,warm_start_bandit,0.019125999999999865
live,specialist,1000,cartel,flat_probe_argmax_online,0.020499999999999963,0.011697638717386476,sequential_halving,-0.051999999999999935
live,specialist,1000,beta05_random,flat_probe_argmax_online,0.022099999999999898,0.013713456097023942,sequential_halving,-0.050900000000000056
bernoulli,specialist,1000000,cartel,flat_probe_argmax_online,0.022830000000000017,0.0032102838854219835,flat_probe_argmax_online,0.022830000000000017
bernoulli,specialist,10000000,cartel,flat_probe_argmax_online,0.025210000000000177,0.004699991078781413,flat_probe_argmax_online,0.025210000000000177
live,specialist,1000,beta0,flat_probe_argmax_online,0.02629999999999988,0.00984149386843789,sequential_halving,-0.04860000000000009
live,specialist,10000,cartel,warm_start_bandit,0.026666666666666727,0.06718548123582128,warm_start_bandit,0.026666666666666727
RouterBench replay,all shapes pooled,1000,cartel,warm_start_bandit,0.02806333333333333,0.001205887936004584,warm_start_bandit,0.02806333333333333
live,specialist,10000,beta0,flat_probe_argmax_online,0.03666666666666685,0.06731456008918124,sequential_halving_peer,-0.05222222222222206
live,specialist,100000,beta025_cartel,flat_probe_argmax_online,0.03888888888888897,0.05974482776311635,sequential_halving_peer,-0.07555555555555549
live,specialist,100000,beta025_random,warm_start_bandit,0.03888888888888897,0.06603870918719648,sequential_halving_peer,-0.043333333333333224
RouterBench replay,all shapes pooled,10000,cartel,flat_nsw_router,0.0441180000000001,0.00129303601598269,flat_nsw_router,0.0441180000000001
RouterBench replay,all shapes pooled,100000,cartel,flat_nsw_router,0.045030000000000014,0.0028291352002577136,flat_nsw_router,0.045030000000000014
RouterBench replay,all shapes pooled,1000000,cartel,flat_nsw_router,0.04742666666666673,0.004313594263746056,flat_nsw_router,0.04742666666666673
live,specialist,100000,cartel,warm_start_bandit,0.050000000000000155,0.04006938426723778,warm_start_bandit,0.050000000000000155
live,specialist,100000,beta05_random,warm_start_bandit,0.06555555555555559,0.03901566636906542,sequential_halving_peer,-0.022222222222222143
RouterEval,all_weak,5000,cartel,warm_start_bandit,0.07555555555555549,0.04955356249106165,sequential_halving,-0.17222222222222217
RouterEval,all_strong,5000,cartel,warm_start_bandit,0.07555555555555549,0.04955356249106165,sequential_halving,-0.17222222222222217
RouterEval,strong_to_weak,5000,cartel,warm_start_bandit,0.07555555555555549,0.04955356249106165,sequential_halving,-0.17222222222222217
live,specialist,100000,beta0,flat_probe_argmax_online,0.08666666666666678,0.05669117117231644,sequential_halving_peer,-0.02777777777777768
