family,group,n,regime,rival,rival_name,gap,ci_lo,ci_hi,units,result
bernoulli,shapes pooled,100,beta0,midian,MIDIAN,0.009782000000000004,0.008252950000000004,0.011246250000000005,1000,win
bernoulli,shapes pooled,100,beta0,sequential_halving_peer,seq. halving (peer),-0.030885999999999993,-0.03255329999999999,-0.029243924999999994,1000,loss
bernoulli,shapes pooled,100,beta025_cartel,flat_probe_argmax_online,flat probe argmax (online),-0.006037000000000005,-0.007544075000000008,-0.004415700000000007,1000,loss
bernoulli,shapes pooled,100,beta025_cartel,warm_start_bandit,warm-start bandit,-0.003542000000000003,-0.005113075000000005,-0.0019270000000000027,1000,loss
bernoulli,shapes pooled,100,beta025_cartel,linucb_honest,LinUCB,0.0029810000000000014,0.001337800000000001,0.004651000000000002,1000,win
bernoulli,shapes pooled,100,beta025_cartel,declared_argmax,declared argmax,0.05406700000000002,0.05185090000000001,0.05639725000000001,1000,win
bernoulli,shapes pooled,100,beta025_cartel,verify_on_claim,verify on claim,0.004168000000000002,0.0018556750000000026,0.006504125000000002,1000,win
bernoulli,shapes pooled,100,beta025_cartel,midian,MIDIAN,0.011626000000000008,0.009924400000000007,0.013412100000000005,1000,win
bernoulli,shapes pooled,100,beta025_cartel,sequential_halving_peer,seq. halving (peer),-0.03410300000000001,-0.035858125000000005,-0.032396925,1000,loss
bernoulli,shapes pooled,100,beta025_random,flat_probe_argmax_online,flat probe argmax (online),-0.008074000000000007,-0.00962425000000001,-0.006456975000000005,1000,loss
bernoulli,shapes pooled,100,beta025_random,warm_start_bandit,warm-start bandit,-0.0035650000000000035,-0.005207175000000004,-0.0019799000000000028,1000,loss
bernoulli,shapes pooled,100,beta025_random,linucb_honest,LinUCB,0.0009440000000000001,-0.0006352750000000012,0.0025940250000000015,1000,tie
bernoulli,shapes pooled,100,beta025_random,declared_argmax,declared argmax,0.021519000000000007,0.01917252500000001,0.02399702500000001,1000,win
bernoulli,shapes pooled,100,beta025_random,verify_on_claim,verify on claim,0.006408000000000004,0.004337950000000002,0.008398025000000005,1000,win
bernoulli,shapes pooled,100,beta025_random,midian,MIDIAN,0.006414000000000005,0.004664875000000002,0.008009100000000005,1000,win
bernoulli,shapes pooled,100,beta025_random,sequential_halving_peer,seq. halving (peer),-0.03722900000000001,-0.039049150000000005,-0.035425850000000016,1000,loss
bernoulli,shapes pooled,100,beta05_random,flat_probe_argmax_online,flat probe argmax (online),-0.0029230000000000037,-0.004522175000000004,-0.0013769000000000027,1000,loss
bernoulli,shapes pooled,100,beta05_random,warm_start_bandit,warm-start bandit,0.01001600000000001,0.008394400000000007,0.011636350000000005,1000,win
bernoulli,shapes pooled,100,beta05_random,linucb_honest,LinUCB,0.006095000000000004,0.004447625000000002,0.007765075000000006,1000,win
bernoulli,shapes pooled,100,beta05_random,declared_argmax,declared argmax,0.024188000000000008,0.021877750000000012,0.026579100000000015,1000,win
bernoulli,shapes pooled,100,beta05_random,verify_on_claim,verify on claim,0.015016000000000009,0.01291390000000001,0.01708502500000001,1000,win
bernoulli,shapes pooled,100,beta05_random,midian,MIDIAN,0.04148300000000002,0.03947192500000001,0.04354035000000002,1000,win
bernoulli,shapes pooled,100,beta05_random,sequential_halving_peer,seq. halving (peer),0.03995500000000001,0.03728177500000001,0.042630425000000007,1000,win
bernoulli,shapes pooled,100,cartel,flat_probe_argmax_online,flat probe argmax (online),0.0007869999999999991,-0.0006190250000000032,0.0023951,1000,tie
bernoulli,shapes pooled,100,cartel,warm_start_bandit,warm-start bandit,0.028054000000000023,0.02647460000000002,0.029546175000000018,1000,win
bernoulli,shapes pooled,100,cartel,linucb_honest,LinUCB,0.009805000000000006,0.008253925000000004,0.011397075000000007,1000,win
bernoulli,shapes pooled,100,cartel,declared_argmax,declared argmax,0.07450100000000001,0.07214670000000002,0.07687002500000002,1000,win
bernoulli,shapes pooled,100,cartel,verify_on_claim,verify on claim,0.04884100000000002,0.04662597500000002,0.05098212500000002,1000,win
bernoulli,shapes pooled,100,cartel,midian,MIDIAN,0.06580400000000002,0.06349480000000002,0.06807402500000001,1000,win
bernoulli,shapes pooled,100,cartel,sequential_halving_peer,seq. halving (peer),0.21789100000000003,0.214050675,0.221700525,1000,win
bernoulli,shapes pooled,1000,beta0,flat_probe_argmax_online,flat probe argmax (online),0.02283500000000001,0.02147595000000001,0.02418907500000001,1000,win
bernoulli,shapes pooled,1000,beta0,warm_start_bandit,warm-start bandit,-0.03696499999999995,-0.03812112499999994,-0.035843974999999945,1000,loss
bernoulli,shapes pooled,1000,beta0,linucb_honest,LinUCB,0.06421400000000003,0.06285467500000005,0.06561215000000005,1000,win
bernoulli,shapes pooled,1000,beta0,declared_argmax,declared argmax,-0.04728999999999994,-0.04846534999999994,-0.046130849999999946,1000,loss
bernoulli,shapes pooled,1000,beta0,verify_on_claim,verify on claim,-0.04793699999999994,-0.049060274999999945,-0.04680992499999995,1000,loss
bernoulli,shapes pooled,1000,beta0,midian,MIDIAN,0.022919000000000012,0.02164460000000001,0.024208025000000015,1000,win
bernoulli,shapes pooled,1000,beta0,sequential_halving_peer,seq. halving (peer),-0.05015899999999994,-0.05129012499999994,-0.04900897499999994,1000,loss
bernoulli,shapes pooled,1000,beta025_cartel,flat_probe_argmax_online,flat probe argmax (online),0.008014000000000005,0.006614700000000004,0.009389425000000005,1000,win
bernoulli,shapes pooled,1000,beta025_cartel,warm_start_bandit,warm-start bandit,-0.01426700000000001,-0.01555200000000001,-0.01303095000000001,1000,loss
bernoulli,shapes pooled,1000,beta025_cartel,linucb_honest,LinUCB,0.04939300000000004,0.04798587500000004,0.05089312500000004,1000,win
bernoulli,shapes pooled,1000,beta025_cartel,declared_argmax,declared argmax,0.07077200000000002,0.06908295000000003,0.07244620000000003,1000,win
bernoulli,shapes pooled,1000,beta025_cartel,verify_on_claim,verify on claim,0.028737000000000023,0.02690675000000002,0.030645150000000024,1000,win
bernoulli,shapes pooled,1000,beta025_cartel,midian,MIDIAN,0.016755000000000013,0.01529775000000001,0.01817707500000001,1000,win
bernoulli,shapes pooled,1000,beta025_cartel,sequential_halving_peer,seq. halving (peer),-0.06208599999999995,-0.06329609999999995,-0.06085362499999995,1000,loss
bernoulli,shapes pooled,1000,beta025_random,flat_probe_argmax_online,flat probe argmax (online),0.006741000000000005,0.005355000000000004,0.008119500000000003,1000,win
bernoulli,shapes pooled,1000,beta025_random,warm_start_bandit,warm-start bandit,-0.016625000000000008,-0.01788007500000001,-0.015356925000000009,1000,loss
bernoulli,shapes pooled,1000,beta025_random,linucb_honest,LinUCB,0.04812000000000003,0.04671962500000004,0.049646025000000045,1000,win
bernoulli,shapes pooled,1000,beta025_random,declared_argmax,declared argmax,0.018643000000000014,0.016729950000000014,0.020569025000000015,1000,win
bernoulli,shapes pooled,1000,beta025_random,verify_on_claim,verify on claim,-0.003269999999999997,-0.004945149999999999,-0.0015328999999999983,1000,loss
bernoulli,shapes pooled,1000,beta025_random,midian,MIDIAN,0.01289200000000001,0.01154500000000001,0.014270700000000008,1000,win
bernoulli,shapes pooled,1000,beta025_random,sequential_halving_peer,seq. halving (peer),-0.06368999999999994,-0.06494129999999994,-0.06242659999999995,1000,loss
bernoulli,shapes pooled,1000,beta05_random,flat_probe_argmax_online,flat probe argmax (online),0.013897000000000008,0.012371625000000006,0.01535407500000001,1000,win
bernoulli,shapes pooled,1000,beta05_random,warm_start_bandit,warm-start bandit,-0.008124000000000006,-0.009493275000000004,-0.006752800000000008,1000,loss
bernoulli,shapes pooled,1000,beta05_random,linucb_honest,LinUCB,0.05527600000000004,0.05382097500000004,0.05677917500000004,1000,win
bernoulli,shapes pooled,1000,beta05_random,declared_argmax,declared argmax,0.031546000000000025,0.029355175000000025,0.03364912500000002,1000,win
bernoulli,shapes pooled,1000,beta05_random,verify_on_claim,verify on claim,0.0057330000000000055,0.003925950000000005,0.007456700000000001,1000,win
bernoulli,shapes pooled,1000,beta05_random,midian,MIDIAN,0.053965000000000034,0.05215895000000003,0.05573402500000004,1000,win
bernoulli,shapes pooled,1000,beta05_random,sequential_halving_peer,seq. halving (peer),-0.012656999999999986,-0.014625074999999989,-0.01060294999999999,1000,loss
bernoulli,shapes pooled,1000,cartel,flat_probe_argmax_online,flat probe argmax (online),0.01576500000000001,0.014379750000000009,0.017097100000000007,1000,win
bernoulli,shapes pooled,1000,cartel,warm_start_bandit,warm-start bandit,0.015810000000000008,0.01450095000000001,0.01705907500000001,1000,win
bernoulli,shapes pooled,1000,cartel,linucb_honest,LinUCB,0.05714400000000005,0.05578930000000004,0.05858722500000004,1000,win
