family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
routereval,beta0,strong_to_weak,5000,flat_probe_argmax_frozen,0.6088888888888889,0.58,0.64,3
routereval,beta0,strong_to_weak,5000,flat_probe_argmax_online,0.6211111111111111,0.5866666666666667,0.6466666666666666,3
routereval,beta0,strong_to_weak,5000,fw_autogen,0.6088888888888889,0.59,0.6266666666666667,3
routereval,beta0,strong_to_weak,5000,fw_camel_workforce,0.5888888888888889,0.55,0.63,3
routereval,beta0,strong_to_weak,5000,fw_crewai,0.581111111111111,0.5533333333333333,0.6166666666666667,3
routereval,beta0,strong_to_weak,5000,fw_google_adk,0.5888888888888889,0.5366666666666666,0.6233333333333333,3
routereval,beta0,strong_to_weak,5000,fw_langgraph,0.6022222222222222,0.5866666666666667,0.6233333333333333,3
routereval,beta0,strong_to_weak,5000,fw_llamaindex,0.5711111111111111,0.5533333333333333,0.5933333333333334,3
routereval,beta0,strong_to_weak,5000,fw_maf,0.6155555555555555,0.57,0.6566666666666666,3
routereval,beta0,strong_to_weak,5000,fw_openai_agents,0.5777777777777778,0.5566666666666666,0.6133333333333333,3
routereval,beta0,strong_to_weak,5000,fw_smolagents,0.5955555555555555,0.5633333333333334,0.6133333333333333,3
routereval,beta0,strong_to_weak,5000,knn_router,0.6088888888888889,0.58,0.64,3
routereval,beta0,strong_to_weak,5000,linucb_honest,0.6088888888888889,0.59,0.64,3
routereval,beta0,strong_to_weak,5000,midian,0.7055555555555556,0.6533333333333333,0.7366666666666667,3
routereval,beta0,strong_to_weak,5000,midian_wo_audit,0.7055555555555556,0.6533333333333333,0.7366666666666667,3
routereval,beta0,strong_to_weak,5000,midian_wo_defenses,0.6433333333333334,0.61,0.67,3
routereval,beta0,strong_to_weak,5000,midian_wo_verify,0.6433333333333334,0.61,0.67,3
routereval,beta0,strong_to_weak,5000,oracle,0.9022222222222221,0.8966666666666666,0.91,3
routereval,beta0,strong_to_weak,5000,random,0.5499999999999999,0.5333333333333333,0.56,3
routereval,beta0,strong_to_weak,5000,sequential_halving,0.8822222222222221,0.85,0.9033333333333332,3
routereval,beta0,strong_to_weak,5000,sequential_halving_peer,0.8822222222222221,0.85,0.9033333333333332,3
routereval,beta0,strong_to_weak,5000,warm_start_bandit,0.8222222222222223,0.8033333333333333,0.8333333333333334,3
routereval,beta0,all_strong,10,declared_argmax,0.825,0.8110000000000002,0.8389999999999999,5
routereval,beta0,all_strong,10,flat_probe_argmax_frozen,0.7932,0.7734,0.8058099999999999,5
routereval,beta0,all_strong,10,flat_probe_argmax_online,0.8238,0.8154,0.8299999999999998,5
routereval,beta0,all_strong,10,knn_router,0.7928000000000001,0.7772,0.8038000000000001,5
routereval,beta0,all_strong,10,knn_router_online,0.8336,0.8256,0.8416,5
routereval,beta0,all_strong,10,linucb_honest,0.8126,0.8066000000000001,0.8186,5
routereval,beta0,all_strong,10,midian,0.82,0.8132000000000001,0.8267999999999999,5
routereval,beta0,all_strong,10,midian_wo_audit,0.8216000000000001,0.8128,0.8303999999999998,5
routereval,beta0,all_strong,10,midian_wo_defenses,0.8214,0.8144,0.8283999999999999,5
routereval,beta0,all_strong,10,midian_wo_verify,0.8229999999999998,0.8164,0.8291999999999999,5
routereval,beta0,all_strong,10,mlp_router,0.784,0.7772,0.7922,5
routereval,beta0,all_strong,10,oracle,0.8346,0.8286,0.8406,5
routereval,beta0,all_strong,10,random,0.7931999999999999,0.7832000000000001,0.8040149999999999,5
routereval,beta0,all_strong,10,sequential_halving,0.7975999999999999,0.7856,0.8086,5
routereval,beta0,all_strong,10,sequential_halving_peer,0.7975999999999999,0.7856,0.8086,5
routereval,beta0,all_strong,10,warm_start_bandit,0.8172,0.8123999999999999,0.8223999999999998,5
routereval,beta0,all_strong,100,declared_argmax,0.8649999999999999,0.8528,0.8775999999999999,5
routereval,beta0,all_strong,100,flat_probe_argmax_frozen,0.7812,0.7676000000000001,0.794,5
routereval,beta0,all_strong,100,flat_probe_argmax_online,0.8006,0.7888000000000001,0.813,5
