family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
llmrouterbench,beta05_random,20 models,20,knn_router_online,0.6626000000000001,0.6468,0.6780050000000001,5
llmrouterbench,beta05_random,20 models,20,linucb_honest,0.679,0.6606,0.696,5
llmrouterbench,beta05_random,20 models,20,midian,0.6638,0.6514,0.6768,5
llmrouterbench,beta05_random,20 models,20,midian_a,0.6764,0.658,0.6961999999999999,5
llmrouterbench,beta05_random,20 models,20,midian_sh,0.6652,0.6456000000000001,0.6881999999999999,5
llmrouterbench,beta05_random,20 models,20,midian_sha,0.6598,0.6434,0.6766,5
llmrouterbench,beta05_random,20 models,20,midian_v,0.6566,0.6386000000000001,0.6774,5
llmrouterbench,beta05_random,20 models,20,midian_va,0.6486000000000001,0.6202,0.677,5
llmrouterbench,beta05_random,20 models,20,mlp_router,0.687,0.6694,0.6991999999999999,5
llmrouterbench,beta05_random,20 models,20,oracle,0.725,0.7145999999999999,0.7365999999999999,5
llmrouterbench,beta05_random,20 models,20,random,0.489,0.47140000000000004,0.509,5
llmrouterbench,beta05_random,20 models,20,sequential_halving,0.6618,0.6449999999999999,0.6874,5
llmrouterbench,beta05_random,20 models,20,sequential_halving_peer,0.6382,0.6172,0.6721999999999999,5
llmrouterbench,beta05_random,20 models,20,warm_start_bandit,0.6626,0.6524,0.6752,5
llmrouterbench,cartel,20 models,20,declared_argmax,0.5682,0.5384,0.5996049999999999,5
llmrouterbench,cartel,20 models,20,flat_probe_argmax_frozen,0.6202,0.58936,0.649,5
llmrouterbench,cartel,20 models,20,flat_probe_argmax_online,0.6869999999999999,0.6582000000000001,0.7074,5
llmrouterbench,cartel,20 models,20,knn_router,0.6374000000000001,0.6215999999999999,0.6546000000000001,5
llmrouterbench,cartel,20 models,20,knn_router_online,0.6626000000000001,0.6468,0.6780050000000001,5
llmrouterbench,cartel,20 models,20,linucb_honest,0.679,0.6606,0.696,5
llmrouterbench,cartel,20 models,20,midian,0.6054,0.5881999999999998,0.6292,5
llmrouterbench,cartel,20 models,20,midian_a,0.677,0.658,0.6968,5
llmrouterbench,cartel,20 models,20,midian_sh,0.6096,0.5762,0.6417999999999999,5
llmrouterbench,cartel,20 models,20,midian_sha,0.6702000000000001,0.6456,0.701,5
llmrouterbench,cartel,20 models,20,midian_v,0.5968,0.5326000000000001,0.6364000000000001,5
llmrouterbench,cartel,20 models,20,midian_va,0.6661999999999999,0.6434,0.6904,5
llmrouterbench,cartel,20 models,20,mlp_router,0.687,0.6694,0.6991999999999999,5
llmrouterbench,cartel,20 models,20,oracle,0.725,0.7145999999999999,0.7365999999999999,5
llmrouterbench,cartel,20 models,20,random,0.489,0.47140000000000004,0.509,5
llmrouterbench,cartel,20 models,20,sequential_halving,0.6618,0.6449999999999999,0.6874,5
llmrouterbench,cartel,20 models,20,sequential_halving_peer,0.46440000000000003,0.40359500000000004,0.5258,5
llmrouterbench,cartel,20 models,20,warm_start_bandit,0.6274,0.6106,0.6450000000000001,5
