metric,arm,mean,ci_lo,ci_hi,units,seeds,grid,cells_14B_lower,cells
success,7B orchestrator,0.5390761904761905,0.5237941892135642,0.5517993073593073,105,10,fw_live_n1000,,
strict,7B orchestrator,0.19525714285714288,0.1853247023809524,0.20629703373015876,105,10,fw_live_n1000,,
fallback,7B orchestrator,0.5484000000000001,0.5165450414862914,0.5745083928571428,105,10,fw_live_n1000,,
success,14B orchestrator,0.5251546391752577,0.5137445018939394,0.5374611458333334,97,10,fw_live_n1000,,
strict,14B orchestrator,0.3451340206185567,0.32811715214646464,0.3679909665404041,97,10,fw_live_n1000,,
fallback,14B orchestrator,0.3163092783505155,0.27245983648989897,0.3477294191919192,97,10,fw_live_n1000,,
success,14B − 7B (paired),-0.01850561797752809,-0.026549144841269846,-0.01185666666666667,89,10,fw_live_n1000,4.0,12.0
strict,14B − 7B (paired),0.14320224719101127,0.12378162878787877,0.1741023841991342,89,10,fw_live_n1000,0.0,12.0
fallback,14B − 7B (paired),-0.22503370786516852,-0.29613550820707074,-0.18252029671717174,89,10,fw_live_n1000,11.0,12.0
