family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
replay,beta0,all shapes pooled,10,gossip_reputation_greedy,0.2542083333333333,0.2504931916666666,0.2578611749999999,1000
replay,beta0,all shapes pooled,10000,gossip_reputation_greedy,0.3609546666666667,0.3602993083333333,0.3616069999999999,1000
replay,beta0,all shapes pooled,100,gossip_reputation_greedy,0.3087916666666667,0.3070306,0.3106745416666666,1000
replay,beta0,all shapes pooled,100000,gossip_reputation_greedy,0.3616366666666667,0.3605065416666666,0.362835125,200
replay,beta0,all shapes pooled,1000,linucb_honest,0.6745176666666667,0.673764275,0.6752818333333335,1000
replay,beta0,all shapes pooled,1000000,linucb_honest,0.4991333333333334,0.4972698333333333,0.501134,100
replay,beta0,all shapes pooled,10,linucb_honest,0.4635123333333332,0.4561876,0.4708498583333333,1000
replay,beta0,all shapes pooled,10000,linucb_honest,0.5437750000000001,0.5431165916666667,0.5444123333333333,1000
replay,beta0,all shapes pooled,100,linucb_honest,0.6976929999999999,0.6965317916666667,0.6989110333333334,1000
replay,beta0,all shapes pooled,100000,linucb_honest,0.5128250000000001,0.5115215416666666,0.5141433333333333,200
replay,beta0,all shapes pooled,1000,midian,0.7423343333333334,0.7414683166666667,0.7431805416666667,1000
replay,beta0,all shapes pooled,1000000,midian,0.7617333333333333,0.7589197499999999,0.7644901666666669,100
replay,beta0,all shapes pooled,10,midian,0.443237,0.4362522,0.4503655583333333,1000
replay,beta0,all shapes pooled,10000,midian,0.755456,0.7546078833333334,0.7562930250000001,1000
replay,beta0,all shapes pooled,100,midian,0.691646,0.6905254833333334,0.6927878916666665,1000
replay,beta0,all shapes pooled,100000,midian,0.7600183333333332,0.7582997916666666,0.7618833333333334,200
replay,beta0,all shapes pooled,1000,"midian[audit=False,r=5,verify=False]",0.7038773333333334,0.702929175,0.7047897833333333,1000
replay,beta0,all shapes pooled,1000000,"midian[audit=False,r=5,verify=False]",0.70607,0.7031698333333333,0.7089469999999999,100
replay,beta0,all shapes pooled,10,"midian[audit=False,r=5,verify=False]",0.4550556666666667,0.4479112333333333,0.4622271583333333,1000
replay,beta0,all shapes pooled,10000,"midian[audit=False,r=5,verify=False]",0.7052676666666666,0.7043430916666666,0.70622875,1000
replay,beta0,all shapes pooled,100,"midian[audit=False,r=5,verify=False]",0.6833116666666667,0.6822458833333335,0.6844096166666667,1000
replay,beta0,all shapes pooled,100000,"midian[audit=False,r=5,verify=False]",0.7076033333333334,0.7055833333333333,0.7096750000000001,200
replay,beta0,all shapes pooled,1000,midian_wo_audit,0.7423343333333334,0.7414683166666667,0.7431805416666667,1000
replay,beta0,all shapes pooled,1000000,midian_wo_audit,0.7617333333333333,0.7589197499999999,0.7644901666666669,100
replay,beta0,all shapes pooled,10,midian_wo_audit,0.443237,0.4362522,0.4503655583333333,1000
replay,beta0,all shapes pooled,10000,midian_wo_audit,0.755456,0.7546078833333334,0.7562930250000001,1000
replay,beta0,all shapes pooled,100,midian_wo_audit,0.691646,0.6905254833333334,0.6927878916666665,1000
replay,beta0,all shapes pooled,100000,midian_wo_audit,0.7600183333333332,0.7582997916666666,0.7618833333333334,200
replay,beta0,all shapes pooled,1000,midian_wo_audit_r5,0.7460943333333334,0.7452818499999999,0.7469570166666667,1000
replay,beta0,all shapes pooled,1000000,midian_wo_audit_r5,0.7677566666666666,0.7649196666666667,0.7705438333333333,100
replay,beta0,all shapes pooled,10,midian_wo_audit_r5,0.4495563333333334,0.4425504416666667,0.4567343916666666,1000
replay,beta0,all shapes pooled,10000,midian_wo_audit_r5,0.7603166666666668,0.7595019583333332,0.7611103416666668,1000
