el,x,y,w,key,cartel,b,z,lo,hi,x1,text
bar,-0.41805555555555557,0.7104999999999999,0.022694444444444444,midian,False,1.0,2.0,,,,
whisker,-0.41805555555555557,0.7104999999999999,,,,,,0.6986347847329543,0.7223652152670456,,
bar,-0.39416666666666667,0.7816,0.022694444444444444,midian,False,3.0,2.0,,,,
whisker,-0.39416666666666667,0.7816,,,,,,0.7694818776665322,0.7937181223334677,,
bar,-0.3702777777777778,0.8121,0.022694444444444444,midian,False,5.0,2.0,,,,
whisker,-0.3702777777777778,0.8121,,,,,,0.8037834168340866,0.8204165831659135,,
bar,-0.3463888888888889,0.6972,0.022694444444444444,midian,True,1.0,2.0,,,,
whisker,-0.3463888888888889,0.6972,,,,,,0.6858345552953995,0.7085654447046006,,
bar,-0.3225,0.768,0.022694444444444444,midian,True,3.0,2.0,,,,
whisker,-0.3225,0.768,,,,,,0.7560055568421595,0.7799944431578405,,
bar,-0.2986111111111111,0.8121,0.022694444444444444,midian,True,5.0,2.0,,,,
whisker,-0.2986111111111111,0.8121,,,,,,0.8037834168340866,0.8204165831659135,,
bar,-0.27472222222222226,0.7104999999999999,0.022694444444444444,midian_wo_defenses,False,1.0,2.0,,,,
whisker,-0.27472222222222226,0.7104999999999999,,,,,,0.6986347847329543,0.7223652152670456,,
bar,-0.25083333333333335,0.77705,0.022694444444444444,midian_wo_defenses,False,3.0,2.0,,,,
whisker,-0.25083333333333335,0.77705,,,,,,0.7673958197286412,0.7865375136046922,,
bar,-0.22694444444444445,0.8002,0.022694444444444444,midian_wo_defenses,False,5.0,2.0,,,,
whisker,-0.22694444444444445,0.8002,,,,,,0.7924485843586836,0.8079514156413165,,
bar,-0.20305555555555557,0.6625,0.022694444444444444,midian_wo_defenses,True,1.0,2.0,,,,
whisker,-0.20305555555555557,0.6625,,,,,,0.6534112401530486,0.6715887598469513,,
bar,-0.17916666666666667,0.7405,0.022694444444444444,midian_wo_defenses,True,3.0,2.0,,,,
whisker,-0.17916666666666667,0.7405,,,,,,0.7321078740608963,0.7488921259391038,,
bar,-0.1552777777777778,0.7552,0.022694444444444444,midian_wo_defenses,True,5.0,2.0,,,,
whisker,-0.1552777777777778,0.7552,,,,,,0.7467162901196862,0.7636837098803138,,
bar,-0.1313888888888889,0.7022999999999999,0.022694444444444444,flat_probe_argmax_online,False,1.0,2.0,,,,
whisker,-0.1313888888888889,0.7022999999999999,,,,,,0.6924431918621357,0.7121568081378642,,
bar,-0.10750000000000001,0.7805,0.022694444444444444,flat_probe_argmax_online,False,3.0,2.0,,,,
whisker,-0.10750000000000001,0.7805,,,,,,0.773182972674037,0.7878170273259629,,
bar,-0.08361111111111111,0.8006,0.022694444444444444,flat_probe_argmax_online,False,5.0,2.0,,,,
whisker,-0.08361111111111111,0.8006,,,,,,0.7938189807386926,0.8073810192613073,,
bar,-0.059722222222222225,0.7022999999999999,0.022694444444444444,flat_probe_argmax_online,True,1.0,2.0,,,,
