el,x,y,w,key,cartel,b,z,lo,hi,x1,text
bar,-0.4173529411764706,0.7422680412371135,0.024029411764705882,midian,False,1.0,2.0,,,,
whisker,-0.4173529411764706,0.7422680412371135,,,,,,0.7087876776887461,0.7757484047854809,,
bar,-0.3920588235294118,0.9690721649484538,0.024029411764705882,midian,False,3.0,2.0,,,,
whisker,-0.3920588235294118,0.9690721649484538,,,,,,0.9539201339996073,0.9842241958973003,,
bar,-0.36676470588235294,0.9896907216494847,0.024029411764705882,midian,False,5.0,2.0,,,,
whisker,-0.36676470588235294,0.9896907216494847,,,,,,0.9692338816154802,1.0101475616834892,,
bar,-0.34147058823529414,0.7164948453608249,0.024029411764705882,midian,True,1.0,2.0,,,,
whisker,-0.34147058823529414,0.7164948453608249,,,,,,0.6898660073198817,0.7431236834017679,,
bar,-0.3161764705882353,0.9600515463917527,0.024029411764705882,midian,True,3.0,2.0,,,,
whisker,-0.3161764705882353,0.9600515463917527,,,,,,0.951601239015075,0.9685018537684306,,
bar,-0.2908823529411765,0.9884020618556703,0.024029411764705882,midian,True,5.0,2.0,,,,
whisker,-0.2908823529411765,0.9884020618556703,,,,,,0.9689011005793537,1.0079030231319865,,
bar,-0.2655882352941177,0.7422680412371135,0.024029411764705882,midian_wo_defenses,False,1.0,2.0,,,,
whisker,-0.2655882352941177,0.7422680412371135,,,,,,0.7087876776887461,0.7757484047854809,,
bar,-0.24029411764705882,0.8724226804123713,0.024029411764705882,midian_wo_defenses,False,3.0,2.0,,,,
whisker,-0.24029411764705882,0.8724226804123713,,,,,,0.8467463159211711,0.8980990449035714,,
bar,-0.215,0.9188144329896908,0.024029411764705882,midian_wo_defenses,False,5.0,2.0,,,,
whisker,-0.215,0.9188144329896908,,,,,,0.8931380684984906,0.9444907974808909,,
bar,-0.1897058823529412,0.6494845360824744,0.024029411764705882,midian_wo_defenses,True,1.0,2.0,,,,
whisker,-0.1897058823529412,0.6494845360824744,,,,,,0.5643159193718645,0.7346531527930843,,
bar,-0.16441176470588237,0.8182989690721651,0.024029411764705882,midian_wo_defenses,True,3.0,2.0,,,,
whisker,-0.16441176470588237,0.8182989690721651,,,,,,0.7942248174068695,0.8423731207374607,,
bar,-0.13911764705882354,0.8775773195876287,0.024029411764705882,midian_wo_defenses,True,5.0,2.0,,,,
whisker,-0.13911764705882354,0.8775773195876287,,,,,,0.8629409578716487,0.8922136813036088,,
bar,-0.11382352941176471,0.7680412371134022,0.024029411764705882,flat_probe_argmax_online,False,1.0,2.0,,,,
whisker,-0.11382352941176471,0.7680412371134022,,,,,,0.7185157761583103,0.8175666980684941,,
bar,-0.08852941176470588,0.8685567010309279,0.024029411764705882,flat_probe_argmax_online,False,3.0,2.0,,,,
whisker,-0.08852941176470588,0.8685567010309279,,,,,,0.8332417793658642,0.9038716226959915,,
bar,-0.06323529411764706,0.9110824742268043,0.024029411764705882,flat_probe_argmax_online,False,5.0,2.0,,,,
whisker,-0.06323529411764706,0.9110824742268043,,,,,,0.8797280281943394,0.9424369202592694,,
bar,-0.037941176470588235,0.7680412371134022,0.024029411764705882,flat_probe_argmax_online,True,1.0,2.0,,,,
whisker,-0.037941176470588235,0.7680412371134022,,,,,,0.7185157761583103,0.8175666980684941,,
bar,-0.012647058823529412,0.8685567010309279,0.024029411764705882,flat_probe_argmax_online,True,3.0,2.0,,,,
whisker,-0.012647058823529412,0.8685567010309279,,,,,,0.8332417793658642,0.9038716226959915,,
bar,0.012647058823529412,0.9110824742268043,0.024029411764705882,flat_probe_argmax_online,True,5.0,2.0,,,,
whisker,0.012647058823529412,0.9110824742268043,,,,,,0.8797280281943394,0.9424369202592694,,
bar,0.037941176470588235,0.7010309278350515,0.024029411764705882,best_learned,False,1.0,2.0,,,,
whisker,0.037941176470588235,0.7010309278350515,,,,,,0.6795833544109622,0.7224785012591408,,
bar,0.06323529411764706,0.859536082474227,0.024029411764705882,best_learned,False,3.0,2.0,,,,
whisker,0.06323529411764706,0.859536082474227,,,,,,0.8370675312188627,0.8820046337295913,,
bar,0.08852941176470588,0.8711340206185569,0.024029411764705882,best_learned,False,5.0,2.0,,,,
whisker,0.08852941176470588,0.8711340206185569,,,,,,0.8588409896724623,0.8834270515646515,,
bar,0.11382352941176471,0.7512886597938144,0.024029411764705882,best_learned,True,1.0,2.0,,,,
whisker,0.11382352941176471,0.7512886597938144,,,,,,0.6937589838001295,0.8088183357874993,,
bar,0.13911764705882354,0.859536082474227,0.024029411764705882,best_learned,True,3.0,2.0,,,,
whisker,0.13911764705882354,0.859536082474227,,,,,,0.8370675312188627,0.8820046337295913,,
bar,0.16441176470588237,0.8762886597938145,0.024029411764705882,best_learned,True,5.0,2.0,,,,
whisker,0.16441176470588237,0.8762886597938145,,,,,,0.8632101912820977,0.8893671283055312,,
bar,0.1897058823529412,0.7719072164948455,0.024029411764705882,best_bandit,False,1.0,2.0,,,,
whisker,0.1897058823529412,0.7719072164948455,,,,,,0.7462308520036454,0.7975835809860456,,
bar,0.215,0.8750000000000002,0.024029411764705882,best_bandit,False,3.0,2.0,,,,
whisker,0.215,0.8750000000000002,,,,,,0.8491303351805612,0.9008696648194393,,
bar,0.24029411764705882,0.9342783505154642,0.024029411764705882,best_bandit,False,5.0,2.0,,,,
whisker,0.24029411764705882,0.9342783505154642,,,,,,0.901984628643965,0.9665720723869633,,
bar,0.2655882352941177,0.820876288659794,0.024029411764705882,best_bandit,True,1.0,2.0,,,,
whisker,0.2655882352941177,0.820876288659794,,,,,,0.7834385591589333,0.8583140181606547,,
bar,0.2908823529411765,0.9020618556701031,0.024029411764705882,best_bandit,True,3.0,2.0,,,,
whisker,0.2908823529411765,0.9020618556701031,,,,,,0.876385491178903,0.9277382201613033,,
bar,0.3161764705882353,0.9304123711340208,0.024029411764705882,best_bandit,True,5.0,2.0,,,,
whisker,0.3161764705882353,0.9304123711340208,,,,,,0.8948164244408942,0.9660083178271475,,
bar,0.34147058823529414,0.7216494845360826,0.024029411764705882,declared_argmax,False,,2.0,,,,
whisker,0.34147058823529414,0.7216494845360826,,,,,,0.6919263850652815,0.7513725840068837,,
bar,0.36676470588235294,0.6701030927835053,0.024029411764705882,declared_argmax,True,,2.0,,,,
whisker,0.36676470588235294,0.6701030927835053,,,,,,0.6466579827336855,0.6935482028333252,,
bar,0.3920588235294118,0.5128865979381444,0.024029411764705882,random,False,,2.0,,,,
whisker,0.3920588235294118,0.5128865979381444,,,,,,0.49430128208523727,0.5314719137910516,,
bar,0.4173529411764706,0.5128865979381444,0.024029411764705882,random,True,,2.0,,,,
whisker,0.4173529411764706,0.5128865979381444,,,,,,0.49430128208523727,0.5314719137910516,,
oracle,-0.46,1.0,,,,,,,,0.46,
bar,0.5826470588235294,0.8015387160820653,0.024029411764705882,midian,False,1.0,2.0,,,,
whisker,0.5826470588235294,0.8015387160820653,,,,,,0.7988620627691608,0.8042153693949702,,
bar,0.6079411764705882,0.9469249314550452,0.024029411764705882,midian,False,3.0,2.0,,,,
whisker,0.6079411764705882,0.9469249314550452,,,,,,0.9451300819403026,0.9487197809697869,,
bar,0.6332352941176471,0.9763638082632129,0.024029411764705882,midian,False,5.0,2.0,,,,
whisker,0.6332352941176471,0.9763638082632129,,,,,,0.9746579121580944,0.9780697043683313,,
bar,0.6585294117647058,0.7976505625413642,0.024029411764705882,midian,True,1.0,2.0,,,,
whisker,0.6585294117647058,0.7976505625413642,,,,,,0.7947251509016489,0.8005759741810788,,
bar,0.6838235294117647,0.9386404462513004,0.024029411764705882,midian,True,3.0,2.0,,,,
whisker,0.6838235294117647,0.9386404462513004,,,,,,0.9366565529346009,0.9406243395680004,,
bar,0.7091176470588235,0.9737992814597716,0.024029411764705882,midian,True,5.0,2.0,,,,
whisker,0.7091176470588235,0.9737992814597716,,,,,,0.9719700106369876,0.9756285522825555,,
bar,0.7344117647058823,0.8015387160820653,0.024029411764705882,midian_wo_defenses,False,1.0,2.0,,,,
whisker,0.7344117647058823,0.8015387160820653,,,,,,0.7988620627691608,0.8042153693949702,,
bar,0.7597058823529412,0.910974283823391,0.024029411764705882,midian_wo_defenses,False,3.0,2.0,,,,
whisker,0.7597058823529412,0.910974283823391,,,,,,0.9089111929485333,0.9130373746982486,,
bar,0.785,0.9399522548926919,0.024029411764705882,midian_wo_defenses,False,5.0,2.0,,,,
whisker,0.785,0.9399522548926919,,,,,,0.9379290525099588,0.941975457275426,,
