family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds
routereval,cartel,all_strong,10,adk,tfidf,0.8046,0.7958000000000001,0.813,5
routereval,cartel,all_strong,10,autogen,tfidf,0.791,0.7702000000000001,0.8096,5
routereval,cartel,all_strong,10,crewai,tfidf,0.8046,0.7958000000000001,0.813,5
routereval,cartel,all_strong,10,langgraph,tfidf,0.7938000000000001,0.7744,0.8109999999999999,5
routereval,cartel,all_strong,10,llama,tfidf,0.81,0.81,0.81,1
routereval,cartel,all_strong,10,maf,tfidf,0.7938,0.78,0.8076000000000001,5
routereval,cartel,all_strong,10,openai,tfidf,0.799,0.7834000000000001,0.8146000000000001,5
routereval,cartel,all_strong,10,smol,tfidf,0.7998000000000001,0.7784000000000001,0.8210000000000001,5
routereval,cartel,all_strong,10,adk,embed,0.8100000000000002,0.799,0.8202,5
routereval,cartel,all_strong,10,autogen,embed,0.8042,0.7929999999999999,0.8154,5
routereval,cartel,all_strong,10,crewai,embed,0.8094000000000001,0.7972000000000001,0.8210000000000001,5
routereval,cartel,all_strong,10,langgraph,embed,0.7992,0.7874000000000001,0.8112,5
routereval,cartel,all_strong,10,llama,embed,0.8002,0.782775,0.8154,5
routereval,cartel,all_strong,10,maf,embed,0.7964,0.7826000000000002,0.8102,5
routereval,cartel,all_strong,10,openai,embed,0.7998,0.787,0.8144,5
routereval,cartel,all_strong,10,smol,embed,0.8026,0.79,0.8150000000000001,5
routereval,cartel,all_strong,10,adk,va_cohort,0.7962,0.7762,0.817,5
routereval,cartel,all_strong,10,autogen,va_cohort,0.8006,0.7866000000000001,0.8158000000000001,5
routereval,cartel,all_strong,10,crewai,va_cohort,0.7962,0.7762,0.817,5
routereval,cartel,all_strong,10,langgraph,va_cohort,0.7828,0.7644,0.8008000000000001,5
routereval,cartel,all_strong,10,llama,va_cohort,0.7974,0.7798,0.8130000000000001,5
routereval,cartel,all_strong,10,maf,va_cohort,0.7904,0.7846000000000001,0.797,5
routereval,cartel,all_strong,10,openai,va_cohort,0.7914,0.7824000000000001,0.8051999999999999,5
routereval,cartel,all_strong,10,smol,va_cohort,0.7984,0.7822,0.8146000000000001,5
routereval,beta0,all_weak,10,oracle,-,0.30039999999999994,0.28256,0.315005,5
routereval,beta0,all_weak,10,MIDIAN-VA (whole population),-,0.30039999999999994,0.27958,0.32080000000000003,5
routereval,beta0,all_weak,10,adk,tfidf,0.3004,0.28159999999999996,0.31920000000000004,5
routereval,beta0,all_weak,10,autogen,tfidf,0.3176,0.2996,0.33421499999999993,5
routereval,beta0,all_weak,10,camel,tfidf,0.2985,0.288,0.309,2
routereval,beta0,all_weak,10,crewai,tfidf,0.3014,0.2738,0.329,5
routereval,beta0,all_weak,10,langgraph,tfidf,0.3112,0.30078499999999997,0.3238,5
routereval,beta0,all_weak,10,llama,tfidf,0.30700000000000005,0.296,0.3214,5
routereval,beta0,all_weak,10,maf,tfidf,0.3016,0.29019999999999996,0.313,5
routereval,beta0,all_weak,10,openai,tfidf,0.31999999999999995,0.2902,0.3478,5
routereval,beta0,all_weak,10,smol,tfidf,0.3146,0.2838,0.34299999999999997,5
routereval,beta0,all_weak,10,adk,embed,0.3014,0.2738,0.329,5
routereval,beta0,all_weak,10,autogen,embed,0.31320000000000003,0.29579999999999995,0.32920000000000005,5
routereval,beta0,all_weak,10,camel,embed,0.31275,0.289,0.33849999999999997,4
routereval,beta0,all_weak,10,crewai,embed,0.3014,0.2738,0.329,5
routereval,beta0,all_weak,10,langgraph,embed,0.3166,0.29979999999999996,0.3328,5
routereval,beta0,all_weak,10,llama,embed,0.30579999999999996,0.2923899999999999,0.31721,5
routereval,beta0,all_weak,10,maf,embed,0.2996,0.2832,0.31681,5
routereval,beta0,all_weak,10,openai,embed,0.316,0.2952,0.3376,5
routereval,beta0,all_weak,10,smol,embed,0.3134,0.296,0.32900000000000007,5
routereval,beta0,all_weak,10,adk,va_cohort,0.3014,0.2738,0.329,5
routereval,beta0,all_weak,10,autogen,va_cohort,0.2964,0.2848,0.30963499999999977,5
routereval,beta0,all_weak,10,camel,va_cohort,0.301,0.264,0.335,3
routereval,beta0,all_weak,10,crewai,va_cohort,0.3004,0.28159999999999996,0.31920000000000004,5
routereval,beta0,all_weak,10,langgraph,va_cohort,0.30920000000000003,0.29700000000000004,0.32221999999999995,5
routereval,beta0,all_weak,10,llama,va_cohort,0.3094,0.2958,0.3222,5
routereval,beta0,all_weak,10,maf,va_cohort,0.311,0.286,0.336,5
routereval,beta0,all_weak,10,openai,va_cohort,0.29979999999999996,0.28300000000000003,0.3116,5
routereval,beta0,all_weak,10,smol,va_cohort,0.30100000000000005,0.2874,0.31599999999999995,5
routereval,beta05_random,all_weak,10,oracle,-,0.30039999999999994,0.28256,0.315005,5
routereval,beta05_random,all_weak,10,MIDIAN-VA (whole population),-,0.30039999999999994,0.27958,0.32080000000000003,5
routereval,beta05_random,all_weak,10,adk,tfidf,0.3076,0.2914,0.3242,5
routereval,beta05_random,all_weak,10,autogen,tfidf,0.3066,0.285195,0.32939999999999997,5
routereval,beta05_random,all_weak,10,camel,tfidf,0.288,0.288,0.288,1
routereval,beta05_random,all_weak,10,crewai,tfidf,0.3076,0.2914,0.3242,5
routereval,beta05_random,all_weak,10,langgraph,tfidf,0.3048,0.28819999999999996,0.3228,5
routereval,beta05_random,all_weak,10,llama,tfidf,0.31179999999999997,0.302,0.31999999999999995,5
routereval,beta05_random,all_weak,10,maf,tfidf,0.31100000000000005,0.29579999999999995,0.3256,5
routereval,beta05_random,all_weak,10,openai,tfidf,0.3168,0.3004,0.33399999999999996,5
routereval,beta05_random,all_weak,10,smol,tfidf,0.31079999999999997,0.2788,0.3414,5
routereval,beta05_random,all_weak,10,adk,embed,0.3056,0.2874,0.3202,5
routereval,beta05_random,all_weak,10,autogen,embed,0.31060000000000004,0.2896,0.3306,5
routereval,beta05_random,all_weak,10,camel,embed,0.313,0.28600000000000003,0.34750000000000003,4
routereval,beta05_random,all_weak,10,crewai,embed,0.3056,0.2874,0.3202,5
routereval,beta05_random,all_weak,10,langgraph,embed,0.3146,0.2968,0.3348,5
routereval,beta05_random,all_weak,10,llama,embed,0.309,0.2956,0.3226,5
routereval,beta05_random,all_weak,10,maf,embed,0.29660000000000003,0.274395,0.32380000000000003,5
routereval,beta05_random,all_weak,10,openai,embed,0.2976,0.276565,0.3186,5
routereval,beta05_random,all_weak,10,smol,embed,0.3122,0.28959999999999997,0.3334,5
routereval,beta05_random,all_weak,10,adk,va_cohort,0.3056,0.2874,0.3202,5
routereval,beta05_random,all_weak,10,autogen,va_cohort,0.3076,0.2934,0.319,5
routereval,beta05_random,all_weak,10,camel,va_cohort,0.302,0.282,0.328,3
routereval,beta05_random,all_weak,10,crewai,va_cohort,0.3056,0.2874,0.3202,5
routereval,beta05_random,all_weak,10,langgraph,va_cohort,0.3142,0.306,0.325,5
routereval,beta05_random,all_weak,10,llama,va_cohort,0.30979999999999996,0.29679999999999995,0.3236,5
routereval,beta05_random,all_weak,10,maf,va_cohort,0.30260000000000004,0.2914,0.31439999999999996,5
routereval,beta05_random,all_weak,10,openai,va_cohort,0.30979999999999996,0.29399999999999993,0.3256,5
routereval,beta05_random,all_weak,10,smol,va_cohort,0.30999999999999994,0.3018,0.3198,5
routereval,cartel,all_weak,10,oracle,-,0.30039999999999994,0.28256,0.315005,5
routereval,cartel,all_weak,10,MIDIAN-VA (whole population),-,0.30039999999999994,0.27958,0.32080000000000003,5
routereval,cartel,all_weak,10,adk,tfidf,0.296,0.2854,0.3084,5
routereval,cartel,all_weak,10,autogen,tfidf,0.3018,0.28800000000000003,0.3142,5
routereval,cartel,all_weak,10,crewai,tfidf,0.296,0.2854,0.3084,5
routereval,cartel,all_weak,10,langgraph,tfidf,0.3066,0.29579999999999995,0.319,5
routereval,cartel,all_weak,10,llama,tfidf,0.3085,0.29574999999999996,0.32275,4
routereval,cartel,all_weak,10,maf,tfidf,0.3098,0.2974,0.322,5
routereval,cartel,all_weak,10,openai,tfidf,0.3088,0.2944,0.3316,5
routereval,cartel,all_weak,10,smol,tfidf,0.30439999999999995,0.2838,0.3316,5
routereval,cartel,all_weak,10,adk,embed,0.29860000000000003,0.2884,0.30879999999999996,5
routereval,cartel,all_weak,10,autogen,embed,0.3056,0.28400000000000003,0.32739999999999997,5
routereval,cartel,all_weak,10,crewai,embed,0.29860000000000003,0.2884,0.30879999999999996,5
routereval,cartel,all_weak,10,langgraph,embed,0.3218,0.29558999999999996,0.3491999999999999,5
routereval,cartel,all_weak,10,llama,embed,0.3086,0.29999999999999993,0.31720000000000004,5
routereval,cartel,all_weak,10,maf,embed,0.2976,0.2778,0.3186,5
routereval,cartel,all_weak,10,openai,embed,0.298,0.28040000000000004,0.31599999999999995,5
routereval,cartel,all_weak,10,smol,embed,0.30979999999999996,0.282,0.3388,5
routereval,cartel,all_weak,10,adk,va_cohort,0.29860000000000003,0.2884,0.30879999999999996,5
routereval,cartel,all_weak,10,autogen,va_cohort,0.2934,0.2812,0.3056,5
routereval,cartel,all_weak,10,crewai,va_cohort,0.29860000000000003,0.2884,0.30879999999999996,5
routereval,cartel,all_weak,10,langgraph,va_cohort,0.3096,0.28979999999999995,0.3294,5
routereval,cartel,all_weak,10,llama,va_cohort,0.31660000000000005,0.2988,0.33440000000000003,5
routereval,cartel,all_weak,10,maf,va_cohort,0.2996,0.2754,0.3226,5
routereval,cartel,all_weak,10,openai,va_cohort,0.3054,0.2892,0.32199999999999995,5
routereval,cartel,all_weak,10,smol,va_cohort,0.31920000000000004,0.3044,0.3418,5
routereval,beta0,strong_to_weak,10,oracle,-,0.8622,0.8549999999999999,0.8694000000000001,5
routereval,beta0,strong_to_weak,10,MIDIAN-VA (whole population),-,0.7658,0.7424000000000001,0.7892,5
routereval,beta0,strong_to_weak,10,adk,tfidf,0.8566,0.8508000000000001,0.8644000000000001,5
routereval,beta0,strong_to_weak,10,autogen,tfidf,0.639,0.6212,0.6567999999999999,5
routereval,beta0,strong_to_weak,10,camel,tfidf,0.609,0.608,0.61,2
routereval,beta0,strong_to_weak,10,crewai,tfidf,0.8566,0.8508000000000001,0.8644000000000001,5
routereval,beta0,strong_to_weak,10,langgraph,tfidf,0.6068,0.5851999999999999,0.6338,5
routereval,beta0,strong_to_weak,10,llama,tfidf,0.5858000000000001,0.5608000000000001,0.6108,5
routereval,beta0,strong_to_weak,10,maf,tfidf,0.7102,0.6612,0.7701999999999998,5
routereval,beta0,strong_to_weak,10,openai,tfidf,0.5946,0.5808,0.6113999999999999,5
routereval,beta0,strong_to_weak,10,smol,tfidf,0.5997999999999999,0.5592799999999999,0.6489999999999999,5
routereval,beta0,strong_to_weak,10,adk,embed,0.8566,0.8508000000000001,0.8644000000000001,5
routereval,beta0,strong_to_weak,10,autogen,embed,0.625,0.5967949999999999,0.669,5
routereval,beta0,strong_to_weak,10,camel,embed,0.6114999999999999,0.586,0.637,4
routereval,beta0,strong_to_weak,10,crewai,embed,0.8572,0.8507999999999999,0.8656,5
routereval,beta0,strong_to_weak,10,langgraph,embed,0.6244,0.603,0.6574,5
routereval,beta0,strong_to_weak,10,llama,embed,0.5486,0.535,0.5606,5
routereval,beta0,strong_to_weak,10,maf,embed,0.7104000000000001,0.6664000000000001,0.7544799999999996,5
routereval,beta0,strong_to_weak,10,openai,embed,0.5862,0.5599949999999999,0.6294000000000001,5
routereval,beta0,strong_to_weak,10,smol,embed,0.55,0.5256000000000001,0.5866,5
routereval,beta0,strong_to_weak,10,adk,va_cohort,0.8572,0.8507999999999999,0.8656,5
routereval,beta0,strong_to_weak,10,autogen,va_cohort,0.6282,0.5952,0.6654,5
routereval,beta0,strong_to_weak,10,camel,va_cohort,0.626,0.617,0.637,3
routereval,beta0,strong_to_weak,10,crewai,va_cohort,0.8566,0.8508000000000001,0.8644000000000001,5
routereval,beta0,strong_to_weak,10,langgraph,va_cohort,0.6412,0.6162,0.6718,5
routereval,beta0,strong_to_weak,10,llama,va_cohort,0.5942,0.5650000000000001,0.6202,5
routereval,beta0,strong_to_weak,10,maf,va_cohort,0.6776,0.64,0.7152,5
routereval,beta0,strong_to_weak,10,openai,va_cohort,0.6012000000000001,0.57757,0.6206,5
routereval,beta0,strong_to_weak,10,smol,va_cohort,0.6326,0.6130000000000001,0.6544000000000001,5
routereval,beta05_random,strong_to_weak,10,oracle,-,0.8622,0.8549999999999999,0.8694000000000001,5
routereval,beta05_random,strong_to_weak,10,MIDIAN-VA (whole population),-,0.7666000000000002,0.744,0.7892,5
routereval,beta05_random,strong_to_weak,10,adk,tfidf,0.7013999999999999,0.6428,0.7516,5
routereval,beta05_random,strong_to_weak,10,autogen,tfidf,0.6226,0.6046,0.6414,5
routereval,beta05_random,strong_to_weak,10,camel,tfidf,0.574,0.574,0.574,1
routereval,beta05_random,strong_to_weak,10,crewai,tfidf,0.7013999999999999,0.6428,0.7516,5
routereval,beta05_random,strong_to_weak,10,langgraph,tfidf,0.6156,0.5922000000000001,0.6382000000000001,5
routereval,beta05_random,strong_to_weak,10,llama,tfidf,0.5916,0.5598000000000001,0.6135999999999999,5
routereval,beta05_random,strong_to_weak,10,maf,tfidf,0.5898000000000001,0.5696000000000001,0.6054,5
routereval,beta05_random,strong_to_weak,10,openai,tfidf,0.5938,0.5596,0.6274,5
routereval,beta05_random,strong_to_weak,10,smol,tfidf,0.5534,0.530155,0.5788,5
routereval,beta05_random,strong_to_weak,10,adk,embed,0.69,0.639,0.7365999999999999,5
routereval,beta05_random,strong_to_weak,10,autogen,embed,0.5524,0.5067999999999999,0.5980749999999997,5
routereval,beta05_random,strong_to_weak,10,camel,embed,0.614,0.574,0.636,3
routereval,beta05_random,strong_to_weak,10,crewai,embed,0.69,0.639,0.7365999999999999,5
routereval,beta05_random,strong_to_weak,10,langgraph,embed,0.5736,0.5622,0.5912,5
routereval,beta05_random,strong_to_weak,10,llama,embed,0.5536000000000001,0.525,0.5822,5
routereval,beta05_random,strong_to_weak,10,maf,embed,0.607,0.5794,0.6322,5
routereval,beta05_random,strong_to_weak,10,openai,embed,0.5892000000000001,0.5618000000000001,0.6252,5
routereval,beta05_random,strong_to_weak,10,smol,embed,0.5548,0.533575,0.5776,5
routereval,beta05_random,strong_to_weak,10,adk,va_cohort,0.7432000000000001,0.6624000000000001,0.8239999999999998,5
routereval,beta05_random,strong_to_weak,10,autogen,va_cohort,0.5946,0.5650000000000001,0.6242,5
routereval,beta05_random,strong_to_weak,10,camel,va_cohort,0.565,0.526,0.588,3
routereval,beta05_random,strong_to_weak,10,crewai,va_cohort,0.7432000000000001,0.6624000000000001,0.8239999999999998,5
routereval,beta05_random,strong_to_weak,10,langgraph,va_cohort,0.5908,0.5633999999999999,0.6325999999999999,5
